method,use_morphology,seed,task,global_step,update,episodic_return,episodic_success,policy_loss,value_loss,entropy,approx_kl,clipfrac,distill_kl,distill_std_kl,log_std_mean
kl,False,0,T1,12288,12,18.53258514404297,1.0,-0.006940620951354504,11.70229434967041,2.7147295475006104,0.005739589221775532,0.027018229166666668,0.0,0.0,-0.5141218900680542
kl,False,0,T1,13312,13,17.778881072998047,1.0,0.001527390442788601,11.370306968688965,2.7112226486206055,0.005006748251616955,0.01220703125,0.0,0.0,-0.515232264995575
kl,False,0,T1,14336,14,15.98729133605957,1.0,0.001040961593389511,10.588150978088379,2.710874319076538,0.0057923090644180775,0.006510416666666667,0.0,0.0,-0.5153046250343323
kl,False,0,T1,15360,15,17.72313690185547,1.0,-0.015923378989100456,10.42375373840332,2.7122914791107178,0.013018396683037281,0.048990885416666664,0.0,0.0,-0.5147905945777893
kl,False,0,T1,16384,16,19.551654815673828,1.0,-0.0018271440640091896,9.762418746948242,2.712909460067749,0.0005288489628583193,0.0,0.0,0.0,-0.5146633982658386
kl,False,0,T1,17408,17,16.09412384033203,1.0,-0.0023787342943251133,9.024962425231934,2.7126576900482178,0.0058540161699056625,0.011067708333333334,0.0,0.0,-0.5147044658660889
kl,False,0,T1,18432,18,18.771427154541016,1.0,-0.0019406266510486603,9.303194046020508,2.7136716842651367,0.005807218141853809,0.005533854166666667,0.0,0.0,-0.5143552422523499
kl,False,0,T1,19456,19,18.631113052368164,1.0,0.004272635094821453,8.66455364227295,2.7139532566070557,0.005961102433502674,0.031412760416666664,0.0,0.0,-0.5143048763275146
kl,False,0,T1,20480,20,19.07284164428711,1.0,-0.004542676731944084,7.850953578948975,2.713489294052124,0.004712643567472696,0.005208333333333333,0.0,0.0,-0.514445960521698
kl,False,0,T1,21504,21,16.988235473632812,1.0,5.2110059186816216e-05,7.565675735473633,2.713229179382324,0.001064894488081336,0.0,0.0,0.0,-0.514538049697876
kl,False,0,T1,22528,22,19.407852172851562,1.0,-0.0009568522218614817,7.320763111114502,2.7126314640045166,0.000149603933095932,0.0,0.0,0.0,-0.5147424340248108
kl,False,0,T1,23552,23,18.246234893798828,1.0,-0.0028251446783542633,7.272590637207031,2.7123260498046875,0.002186961704865098,0.0003255208333333333,0.0,0.0,-0.5148299336433411
kl,False,0,T1,24576,24,19.41835594177246,1.0,-0.000302058644592762,6.910284042358398,2.712461471557617,0.001280647236853838,0.0,0.0,0.0,-0.5147809386253357
kl,False,0,T1,25600,25,17.29726791381836,1.0,-0.0038958415389060974,6.361566066741943,2.712557077407837,0.0010740968864411116,0.0,0.0,0.0,-0.5147530436515808
kl,False,0,T1,26624,26,17.564607620239258,1.0,-0.00023715104907751083,7.402022838592529,2.712446451187134,0.0008034987840801477,0.0,0.0,0.0,-0.5147916674613953
kl,False,0,T1,27648,27,16.376140594482422,1.0,-0.0015804190188646317,7.042966842651367,2.712404489517212,0.0002590662334114313,0.0,0.0,0.0,-0.514803946018219
kl,False,0,T1,28672,28,19.600326538085938,1.0,-0.00036667007952928543,7.441606044769287,2.712352991104126,5.0899339839816093e-05,0.0,0.0,0.0,-0.5148215293884277
kl,False,0,T1,29696,29,21.590091705322266,1.0,-0.00034405849874019623,7.217100143432617,2.712287664413452,4.7934241592884064e-05,0.0,0.0,0.0,-0.5148438215255737
kl,False,0,T3,30720,1,0.1502765715122223,0.0,0.008157670497894287,4.614752769470215,2.712815284729004,0.010843830183148384,0.064453125,0.009493347257375717,2.2649765014648438e-06,-0.5146198868751526
kl,False,0,T3,31744,2,0.21902941167354584,0.0,-0.014654706232249737,3.3974382877349854,2.7141096591949463,0.006249900907278061,0.08658854166666667,0.01046841498464346,3.9577484130859375e-05,-0.5141955018043518
kl,False,0,T3,32768,3,0.2657698094844818,0.0,0.001781722530722618,3.8374297618865967,2.7186450958251953,0.0015387870371341705,0.06103515625,0.012321695685386658,8.696317672729492e-05,-0.5125604271888733
kl,False,0,T3,33792,4,0.3614942133426666,0.0,-0.004534756764769554,3.5706429481506348,2.723550796508789,0.0029675483237951994,0.029296875,0.01075039803981781,0.00011605024337768555,-0.5110737681388855
kl,False,0,T3,34816,5,0.49348628520965576,0.0,0.004575290251523256,2.6485679149627686,2.7241170406341553,0.004096070304512978,0.02685546875,0.012075737118721008,9.894371032714844e-05,-0.5109276175498962
